D:\Data Analytics\Thesis\IMG\center_2019_06_27_02_25_09_864.jpg, D:\Data Analytics\Thesis\IMG\left_2019_06_27_02_25_09_864.jpg, D:\Data Analytics\Thesis\IMG\right_2019_06_27_02_25_09_864.jpg, 0, 0, 0, 0.6418219
D:\Data Analytics\Thesis\IMG\center_2019_06_27_02_25_10_118.jpg, D:\Data Analytics\Thesis\IMG\left_2019_06_27_02_25_10_118.jpg, D:\Data Analytics\Thesis\IMG\right_2019_06_27_02_25_10_118.jpg, 0, 0, 0, 0.6241518
D:\Data Analytics\Thesis\IMG\center_2019_06_27_02_25_10_274.jpg, D:\Data Analytics\Thesis\IMG\left_2019_06_27_02_25_10_274.jpg, D:\Data Analytics\Thesis\IMG\right_2019_06_27_02_25_10_274.jpg, 0, 0, 0, 0.6126071
D:\Data Analytics\Thesis\IMG\center_2019_06_27_02_25_10_406.jpg, D:\Data Analytics\Thesis\IMG\left_2019_06_27_02_25_10_406.jpg, D:\Data Analytics\Thesis\IMG\right_2019_06_27_02_25_10_406.jpg, 0, 0, 0, 0.6026571
D:\Data Analytics\Thesis\IMG\center_2019_06_27_02_25_10_562.jpg, D:\Data Analytics\Thesis\IMG\left_2019_06_27_02_25_10_562.jpg, D:\Data Analytics\Thesis\IMG\right_2019_06_27_02_25_10_562.jpg, 0, 0, 0, 0.5928467
D:\Data Analytics\Thesis\IMG\center_2019_06_27_02_25_10_714.jpg, D:\Data Analytics\Thesis\IMG\left_2019_06_27_02_25_10_714.jpg, D:\Data Analytics\Thesis\IMG\right_2019_06_27_02_25_10_714.jpg, 0, 0, 0, 0.581803
D:\Data Analytics\Thesis\IMG\center_2019_06_27_02_25_10_859.jpg, D:\Data Analytics\Thesis\IMG\left_2019_06_27_02_25_10_859.jpg, D:\Data Analytics\Thesis\IMG\right_2019_06_27_02_25_10_859.jpg, 0, 0, 0, 0.5722848
D:\Data Analytics\Thesis\IMG\center_2019_06_27_02_25_10_993.jpg, D:\Data Analytics\Thesis\IMG\left_2019_06_27_02_25_10_993.jpg, D:\Data Analytics\Thesis\IMG\right_2019_06_27_02_25_10_993.jpg, 0, 0, 0, 0.5629001
D:\Data Analytics\Thesis\IMG\center_2019_06_27_02_25_11_113.jpg, D:\Data Analytics\Thesis\IMG\left_2019_06_27_02_25_11_113.jpg, D:\Data Analytics\Thesis\IMG\right_2019_06_27_02_25_11_113.jpg, 0, 0, 0, 0.554961
D:\Data Analytics\Thesis\IMG\center_2019_06_27_02_25_11_507.jpg, D:\Data Analytics\Thesis\IMG\left_2019_06_27_02_25_11_507.jpg, D:\Data Analytics\Thesis\IMG\right_2019_06_27_02_25_11_507.jpg, 0, 0, 0, 0.5329813
D:\Data Analytics\Thesis\IMG\center_2019_06_27_02_25_11_624.jpg, D:\Data Analytics\Thesis\IMG\left_2019_06_27_02_25_11_624.jpg, D:\Data Analytics\Thesis\IMG\right_2019_06_27_02_25_11_624.jpg, -0.3532408, 0.3532408, 0, 1.020023
D:\Data Analytics\Thesis\IMG\center_2019_06_27_02_25_11_753.jpg, D:\Data Analytics\Thesis\IMG\left_2019_06_27_02_25_11_753.jpg, D:\Data Analytics\Thesis\IMG\right_2019_06_27_02_25_11_753.jpg, -0.6756609, 0.675661, 0, 1.772135
D:\Data Analytics\Thesis\IMG\center_2019_06_27_02_25_11_873.jpg, D:\Data Analytics\Thesis\IMG\left_2019_06_27_02_25_11_873.jpg, D:\Data Analytics\Thesis\IMG\right_2019_06_27_02_25_11_873.jpg, -0.3157232, 0.3157232, 0, 2.226426
D:\Data Analytics\Thesis\IMG\center_2019_06_27_02_25_12_001.jpg, D:\Data Analytics\Thesis\IMG\left_2019_06_27_02_25_12_001.jpg, D:\Data Analytics\Thesis\IMG\right_2019_06_27_02_25_12_001.jpg, 0, 0, 0, 2.214585
D:\Data Analytics\Thesis\IMG\center_2019_06_27_02_25_12_089.jpg, D:\Data Analytics\Thesis\IMG\left_2019_06_27_02_25_12_089.jpg, D:\Data Analytics\Thesis\IMG\right_2019_06_27_02_25_12_089.jpg, 0, 0, 0, 2.187101
D:\Data Analytics\Thesis\IMG\center_2019_06_27_02_25_12_225.jpg, D:\Data Analytics\Thesis\IMG\left_2019_06_27_02_25_12_225.jpg, D:\Data Analytics\Thesis\IMG\right_2019_06_27_02_25_12_225.jpg, 0, 0, 0, 2.155465
